,source,title,publish_time,url
0,Reuters,BOJ board debated feasibility of tweaking YCC - Jan meeting minutes,2023-03-15T00:24:58Z,https://www.reuters.com/markets/asia/boj-board-debated-feasibility-tweaking-ycc-jan-meeting-minutes-2023-03-15/
1,Reuters,"US says Russian jet caused spy drone crash over Black Sea, Moscow denies collision",2023-03-14T23:55:20Z,https://www.reuters.com/world/us-says-russian-jet-caused-spy-drone-crash-over-black-sea-moscow-denies-2023-03-14/
2,Reuters,"US watching developments at First Republic, other banks - White House",2023-03-14T23:19:55Z,https://www.reuters.com/markets/us/us-monitoring-developments-first-republic-other-regional-banks-white-house-2023-03-14/
3,Bloomberg,"Stock Market Today: Dow, S&P Live Updates for March 15",2023-03-14T22:11:57+00:00,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L3N0b2NrLW1hcmtldC10b2RheS1kb3ctcy1wLWxpdmUtdXBkYXRlc9IBAA?oc=5
4,Bloomberg,TikTok Considers Splitting From ByteDance If Deal With US Fails,2023-03-14T21:52:05+00:00,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L3Rpa3Rvay1jb25zaWRlcnMtZGl2ZXN0aW5nLWZyb20tYnl0ZWRhbmNlLWlmLWRlYWwtd2l0aC11cy1mYWlsc9IBAA?oc=5
5,Reuters,Morning Bid: The calm - or lull? - after the storm,2023-03-14T21:48:05Z,https://www.reuters.com/markets/asia/global-markets-view-asia-graphic-pix-2023-03-14/
6,The Wall Street Journal,Silicon Valley Bank Creditors Form Group In Advance of Possible Bankruptcy,2023-03-14T21:30:00Z,https://www.wsj.com/articles/silicon-valley-bank-creditors-form-group-in-advance-of-possible-bankruptcy-62e631aa
7,The Wall Street Journal,U.S. Airlines Expect Strong Demand as Travelers Find Postpandemic Routines,2023-03-14T21:29:00Z,https://www.wsj.com/articles/u-s-airlines-expect-strong-demand-as-travelers-find-postpandemic-routines-3c64057f?mod=hp_lead_pos6
8,Bloomberg,Argentina Inflation Tops 100% as Economic Recession Looms,2023-03-14T21:21:32+00:00,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L2FyZ2VudGluYS1zdXJwYXNzZXMtMTAwLWluZmxhdGlvbi1hcy1lY29ub21pYy1yZWNlc3Npb24tbG9vbXPSAQA?oc=5
9,Bloomberg,SVB Took the Wrong Risks,2023-03-14T19:41:30+00:00,https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vb3Bpbmlvbi9hcnRpY2xlcy8yMDIzLTAzLTE0L3N2Yi10b29rLXRoZS13cm9uZy1yaXNrc9IBAA?oc=5
10,Bloomberg,"African Fintech Startup Financed by FTX, SVB Said to Weigh Sale",2023-03-14T18:22:22+00:00,https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L2ZpbnRlY2gtc3RhcnR1cC1maW5hbmNlZC1ieS1zdmItZnR4LWlzLXNhaWQtdG8td2VpZ2gtYS1zYWxl0gEA?oc=5
11,Reuters,Microsoft-backed OpenAI starts release of powerful AI known as GPT-4,2023-03-14T18:09:34Z,https://www.reuters.com/technology/microsoft-backed-openai-starts-release-powerful-ai-known-gpt-4-2023-03-14/
12,Reuters,U.S. prosecutors probing collapse of Silicon Valley Bank -source,2023-03-14T18:03:45Z,https://www.reuters.com/business/finance/us-justice-department-sec-investigating-silicon-valley-bank-collapse-wsj-2023-03-14/
13,Reuters,Analysis: Airbus faces steep climb in 'make or break' delivery year,2023-03-14T17:57:02Z,https://www.reuters.com/business/aerospace-defense/airbus-faces-steep-climb-make-or-break-delivery-year-2023-03-14/
14,Bloomberg,Russian Fighter Aircraft Collides With US Drone Above Black Sea,2023-03-14T17:48:48+00:00,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L3J1c3NpYW4tZmlnaHRlci1haXJjcmFmdC1jb2xsaWRlLXdpdGgtdXMtZHJvbmUtYWJvdmUtYmxhY2stc2Vh0gEA?oc=5
15,Bloomberg,ChatGPT Creator OpenAI Debuts New GPT-4 AI System,2023-03-14T17:43:42+00:00,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L29wZW5haS11bnZlaWxzLW5leHQtdmVyc2lvbi1vZi10aGUtYWktdG9vbC10aGF0LWJpcnRoZWQtY2hhdGdwdNIBAA?oc=5
16,Bloomberg,Apple Delays Bonuses for Some and Limits Hiring in Latest Cost-Cutting Effort,2023-03-14T17:43:39+00:00,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L2FwcGxlLWRlbGF5cy1ib251c2VzLWZvci1zb21lLWRpdmlzaW9ucy1hcy1pdC1zY3J1dGluaXplcy1jb3N0cy1hYXBs0gEA?oc=5
17,Reuters,Little relief for US consumers as sticky rents keep inflation elevated,2023-03-14T17:39:58Z,https://www.reuters.com/markets/us/us-consumer-prices-increase-solidly-february-2023-03-14/
18,The Wall Street Journal,Russian Jet Collides With U.S. Drone Over Black Sea,2023-03-14T17:22:00Z,https://www.wsj.com/articles/russian-jet-collides-with-u-s-drone-over-black-sea-7ae82d2f?mod=hp_lead_pos1
19,Reuters,"Wall St rallies on rebound in banks, small rate-hike bets",2023-03-14T16:26:44Z,https://www.reuters.com/markets/us/futures-rise-after-bank-rout-cpi-data-awaited-2023-03-14/
20,Bloomberg,Signature Bank Was Seized After Leaders Caused 'Crisis of Confidence',2023-03-14T16:00:05+00:00,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTE0L3NpZ25hdHVyZS13YXMtc2VpemVkLWFmdGVyLWxlYWRlcnMtY2F1c2VkLWNyaXNpcy1vZi1jb25maWRlbmNl0gEA?oc=5
21,The Wall Street Journal,The American Diet Has a Sandwich Problem,2023-03-14T14:00:00Z,https://www.wsj.com/articles/sandwich-american-diet-unhealthy-489a1d59?mod=hp_lead_pos5
22,The Wall Street Journal,French Pension Strikes: The Party Is Ending for Retirees,2023-03-14T13:19:00Z,https://www.wsj.com/articles/french-pension-strikes-retirement-age-reform-macron-ce377388?mod=hp_lead_pos10
23,Reuters,"Facebook-parent Meta to lay off 10,000 employees in second round of job cuts",2023-03-14T13:18:47Z,https://www.reuters.com/technology/facebook-parent-meta-lay-off-10000-employees-second-round-job-cuts-2023-03-14/
24,The Wall Street Journal,"Meta Plans to Layoff 10,000 Employees in Second Round of Job Cuts",2023-03-14T13:17:00Z,https://www.wsj.com/articles/facebook-parent-meta-begins-new-round-of-job-cuts-e34b81cc?mod=hp_lead_pos2
25,The Wall Street Journal,Microsoft Signs Third ‘Call of Duty’ Deal as It Seeks Approval to Buy Activision Blizzard,2023-03-14T13:01:00Z,https://www.wsj.com/articles/microsoft-signs-another-call-of-duty-deal-as-it-seeks-approval-to-buy-activision-blizzard-a8c5372f?mod=hp_lead_pos7
26,The Wall Street Journal,Novo Nordisk to Slash Insulin Prices by Up to 75%,2023-03-14T12:00:00Z,https://www.wsj.com/articles/insulin-price-cut-novo-nordisk-cb0f2061?mod=hp_lead_pos3
27,The Wall Street Journal,Credit Suisse Finds Material Weaknesses in Financial Reporting,2023-03-14T11:56:00Z,https://www.wsj.com/articles/credit-suisse-finds-material-weaknesses-in-financial-reporting-f14b2ce9?mod=hp_lead_pos4
28,The Wall Street Journal,Biden Issues Executive Order to Strengthen Gun Background Checks,2023-03-14T09:00:00Z,https://www.wsj.com/articles/biden-seeks-to-strengthen-gun-background-checks-34052337?mod=hp_lead_pos11
